question,answer,context,source,subdomain
In which building is Rachel Jarvis's office located?,Eaton Hall.,3042 Eaton Hall,https://eecs.ku.edu/people/rachel-jarvis,eecs.ku.edu
What is the role of Sam Klecan at the university?,Sam Klecan is the Program Coordinator.,People Staff Sam Klecan -Program Coordinator,http://bio.engr.ku.edu/staff,bio.engr.ku.edu
What specific documents must dependents present when applying for a visa?,"Dependents should present a passport, DS-160 confirmation page, Dependent I-20/DS-2019.",Dependents should have these documents ready as well. Passport (valid for at least six months beyond the date of travel to the U.S.) DS-160 confirmation page Dependent I-20/DS-2019.,https://iss.ku.edu/apply-visa,iss.ku.edu
What document must F-1 students obtain for travel abroad?,An F-1 student should get a travel signature on the I-20 form and speak with an international advisor if desired before traveling.,An F-1 student should get a travel signature on I-20 form and speak with an international advisor if desired before traveling.,https://iss.ku.edu/F-1-staying-legal,iss.ku.edu
Is it possible for students to select the credit/no credit option for a course that is required for their major or minor?,"No, the course selected for CR/NC cannot be used to fulfill major or minor requirements for undergraduate students.",The course you select for CR/NC cannot be used to fulfill your major or minor requirement (undergraduate students) or cannot be used to fulfill any degree or certificate requirements (graduate students).,https://registrar.ku.edu/request-other-record,registrar.ku.edu
When do applications for the accelerated Master’s program open and close?,Graduate applications to start the following summer would open on January 1 and close on March 15.,Graduate applications to start the following summer would open on January 1 and close March 15.,https://bioengr.ku.edu/accelerated-ms,bioengr.ku.edu
What steps must a J-1 exchange visitor take if they experience a delay in their arrival to the U.S.?,"If the exchange visitor is unable to arrive within 15 days of the start date on the DS-2019, they must submit a Late Arrival form in iHawk to request an amended start date.","If the exchange visitor is unable to arrive and report to ISS within 15 days of the start date on the DS-2019, the exchange visitor must submit a Late Arrival form in iHawk, so that a request for an amended start date can be submitted.",https://iss.ku.edu/j-1-scholar-visa-sponsorship,iss.ku.edu
What role do Resident Assistants (RAs) play in the first-year engineering experience?,Many Resident Assistants (RA's) on these floors are upper level engineering students trained to support freshmen through the adjustments and rigors they experience during their first year of college.,Many Resident Assistants (RA's) on these floors are upper level engineering students trained to support freshmen through the adjustments and rigors they experience during their first year of college.,https://engr.ku.edu/after-admission,engr.ku.edu
What distinguishes BIOE 890 Special Topics from other courses in the bioengineering program?,BIOE 890 Special Topics features advanced courses on current topics of interest in bioengineering and is offered as the need arises.,"BIOE 890 Special Topics: _____. 1-5 Credits. Advanced courses on special topics of current interest in bioengineering, given as the need arises.",http://bio.engr.ku.edu/bioengineering-courses,bio.engr.ku.edu
What is the typical GPA requirement for applicants to the Ph.D. program in Electrical Engineering?,"Applicants for the Ph.D. program in Electrical Engineering must have a GPA at or above 3.5 on a 4 point scale, with the mean GPA being 3.6.",GPA: at or above 3.5 on a 4 point scale (mean GPA: 3.6).,https://eecs.ku.edu/phd-program,eecs.ku.edu
"What fellowship did Amanda Hertel, a 2022 KU graduate, receive?","Amanda Hertel was awarded the $35,000 Phi Kappa Phi fellowship.","Amanda Hertel, a 2022 University of Kansas graduate in chemical engineering from Shawnee, is the recipient of the 1897 Fellowship by the honor society of Phi Kappa Phi.",https://engr.ku.edu/news?page=3,engr.ku.edu
Since when has Mona been a member of the Jayhawk community?,Mona has been a Jayhawk since 2020.,Mona has been a Jayhawk since 2020.,https://engr.ku.edu/people/mona-shaheen,engr.ku.edu
Which professor specializes in data mining and machine learning among the EECS faculty?,"Jerzy W Grzymala-Busse specializes in data mining, knowledge discovery, machine learning, and reasoning under uncertainty.",Jerzy W Grzymala-Busse Professor Emeritus jerzygb@ku.edu 785-864-4488 Primary Research Interests Data mining Knowledge discovery Machine learning Expert systems Reasoning under uncertainty Rough set theory,https://eecs.ku.edu/theory-computing,eecs.ku.edu
How has Brian McClendon contributed to the field of geographic information and technology?,"McClendon co-created Google Earth and played a pivotal role in developing Google Maps and Street View, significantly transforming our interaction with geospatial data.","As co-creator of Google Earth, he made Lawrence the literal center of the digital globe. ... McClendon led Google’s geospatial division for 10 years, driving the development of Google Maps, Street View, Google Earth and Google Earth Engine.",https://engr.ku.edu/news/article/ku-engineering-to-honor-2-alumni-with-distinguished-engineering-service-award,engr.ku.edu
What distinguishes Anthony Fehr and Gibum Kwon's recent awards from past recipients at KU?,Fehr and Kwon are the first two researchers to receive the prestigious Presidential Early Career Awards for Scientists and Engineers as KU faculty members since 2008.,"Fehr and Kwon are the first two researchers to receive the prestigious award as KU faculty members since 2008, when then-KU faculty member Joy Ward received it.",https://engr.ku.edu/news/article/engineering-faculty-member-wins-prestigious-early-career-presidential-award,engr.ku.edu
What are the requirements for engineering student organizations to be eligible for FAC funding in the 2024-2025 school year?,"Organizations must re-register in the Engineering Connector and Rock Chalk Central by September 13, 2024, participate in specific recruiting events, attend 2/3 of ESC Meetings, and participate in the Engineering EXPO.","For FAC eligibility in the 2024-2025 school year, each engineering student organization is required to commit to the following: Re-register your organization in the Engineering Connector and Rock Chalk Central by September 13, 2024... Participate in at least one of the following Fall Welcome Back Recruiting Events...",https://engr.ku.edu/student-organization-funding,engr.ku.edu
What is the e-Learning fee for undergraduate students per credit hour?,$80.00,Mandatory Fees Medical Center Campus Click to expand Program Fee e-Learning Fee - Undergraduates $80.00,https://registrar.ku.edu/fy-2024-online-tuition-fees,registrar.ku.edu
What options do students have if their GPA drops below 3.00?,Students may be placed on academic probation or dismissed if their GPA goes below 3.0 and should contact their departmental programs advisor or director to discuss options.,Students are placed on academic probation or dismissed if their cumulative GPA goes below 3.0. Students who are in danger of probation or dismissal should contact their departmental programs advisor or director to discuss options.,https://engr.ku.edu/current-graduate-students,engr.ku.edu
What motivated Gideon to join the University of Kansas (KU)?,"He is passionate about finding sustainable solutions in the energy sector, which motivated him to join KU.","He is passionate about finding sustainable solutions in the energy sector, hence joining KU.",https://engr.ku.edu/people/gideon-gyamfi,engr.ku.edu
What happens if students do not check the box for the Bioengineering Certificate when applying for their degree?,"If students do not check the box for the Bioengineering Certificate, it will be assumed that they do not want to receive it.","When you apply for your degree, make sure to CHECK the BOX for the Bioengineering Certificate! Otherwise, we assume you don't want it.",http://bio.engr.ku.edu/undergraduate-certificate,bio.engr.ku.edu
What are some areas of research that graduate students can work on in the Petroleum Engineering program?,"Graduate students can work on areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/degrees-curriculum,cpe.engr.ku.edu
What unique program does the University of Kansas offer in the field of Petroleum Engineering?,The University of Kansas hosts the only petroleum engineering program in the State of Kansas.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/news-event-submission,cpe.engr.ku.edu
What other resources are mentioned in the passage besides the Change of School form?,"Diplomas, Grades, Personal Information & Privacy, Transcripts.",Student Records Resources Diplomas Grades Personal Information & Privacy Transcripts.,https://registrar.ku.edu/change-school,registrar.ku.edu
What happens if a student drops courses without prior authorization after deciding to withdraw from KU?,Dropping courses without authorization will result in a loss of legal F-1 status and does not allow for a 15-day grace period.,"Withdrawing from the university and dropping your courses without authorization will result in a loss of legal F-1 status, and does not allow for a 15-day grace period.",https://iss.ku.edu/f-1-leaving-ku,iss.ku.edu
What role did Elizabeth Appel play in her university's competitive design-build competition?,Appel restarted the university’s competitive design-build competition Concrete Canoe and led the team to a third-place finish in the regional competition in 2023.,"""As a KU undergraduate, Appel has pursued research that explores 'ambiguous, social-focused questions' related to civil engineering... restarting Concrete Canoe was a lot of work, but it showed that even a team of novices can outperform established competitors.""",https://engr.ku.edu/news/article/ku-senior-from-kansas-city-awarded-full-ride-to-university-of-cambridge-to-pursue-sustainable-engineering,engr.ku.edu
Who is authorized to access electronic resources at the University of Kansas?,"Access is restricted to employees, students, or other individuals authorized by the University or its affiliates.","Access to electronic resources at the University of Kansas is restricted to employees, students, or other individuals authorized by the University or its affiliates.",https://shopkeeper.eecs.ku.edu/,shopkeeper.eecs.ku.edu
What is the responsibility of students regarding their I-20s according to the passage?,It is the students' responsibility to retain all of their I-20s.,Keep in mind it is your responsibility to retain all of your I-20s and it is not the responsibility of ISS to archive official copies of all documents.,https://iss.ku.edu/i-20-requests-or-copies,iss.ku.edu
What contributions did Kristin Bowman-James make to the field of chemistry that earned her recognition as an AAAS fellow?,Kristin Bowman-James was recognized for her significant contributions to supramolecular anion coordination chemistry and her efforts in advancing diversity and inclusion in the chemical sciences.,"Bowman-James was recognized for significant contributions to supramolecular anion coordination chemistry, advancing diversity and inclusion in the chemical sciences, and service to the research enterprise in Kansas.",https://engr.ku.edu/news/article/three-ku-professors-of-chemistry-economics-and-engineering-named-aaas-fellows,engr.ku.edu
Does the passage provide a personal statement or biography for John Gibbons?,"No, the passage does not include a personal statement or biography, only basic contact and research information.",Show More about Research,https://eecs.ku.edu/people/john-gibbons,eecs.ku.edu
What are the specific safeguards mentioned for ensuring the authenticity of paper transcripts from the University of Kansas?,"The safeguards include a background color with small print of 'The University of Kansas,' 'Copy' appearing in large print when photocopied, a watermark visible at an angle, and 'VOID' appearing in multiple languages if bleach is applied.","The University of Kansas employs a number of safeguards to ensure the authenticity of their transcripts: The background color of the transcript face should have multiple repetitions of the words 'The University of Kansas' in very small print. When the front side is photocopied, the word 'Copy' should appear in very large print across the face. If liquid bleach is applied to the front side, 'VOID' should appear in six different languages.",https://registrar.ku.edu/transcripts,registrar.ku.edu
What specific section of the User guide provides information on creating/editing tables in CourseLeaf?,Information on creating/editing tables is on pages 18-30.,Information on creating/editing tables is on pages 18-30.,https://registrar.ku.edu/courseleaf-faq,registrar.ku.edu
What department does Justin Hutchison belong to?,"Justin Hutchison belongs to the Department of Civil, Environmental, and Architecture Engineering.","Monday: 04/14/2025 Justin Hutchison Associate Professor Department of Civil, Environmental, and Architecture Engineering University of Kansas",http://bioengr.ku.edu/colloquium,bioengr.ku.edu
In which areas can students engage in cutting-edge research as part of the petroleum engineering graduate programs?,"Students can engage in research in bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, and more.","Work on cutting-edge research with nationally and internationally recognized faculty in areas including bioengineering, catalysis, renewable energy, sustainability, separations, enhanced oil and gas recovery, unconventional reservoirs, data mining and reservoir characterization, flow in porous media, and reservoir simulation.",http://cpe.engr.ku.edu/enrollment-resources-and-course-listings,cpe.engr.ku.edu
What was the purpose of establishing the KU EECS Distinguished Service Award?,The award was established to recognize distinguished alumni and dedicated associates of the KU EECS department.,The EECS department established the new award... in February 2022 to recognize distinguished alumni and dedicated associates of the department.,https://eecs.ku.edu/node/2489,eecs.ku.edu
What is the role of the Institute for Bioengineering Research (IBER) at KU?,IBER promotes creativity and catalyzes collaborations to enhance societal health and well-being through research and education.,"The Institute for Bioengineering Research on the Lawrence campus provides a research, teaching and scholarly environment that promotes creativity and catalyzes collaborations to enhance societal health and well-being.",http://bio.engr.ku.edu/bioengineering-graduate-programs-2024-25,bio.engr.ku.edu
What kind of career preparation does the computational bioengineering track offer to its students?,"Students are prepared for careers in industry, academia, and public service, with training in computer science, mathematical and statistical methods, biological and life sciences, and physical and chemistry principles.","Students in this track are prepared for careers in industry, academia, and public service. They are trained in computer science, mathematical and statistical methods and principles, biological and life sciences, and physical and chemistry principles.",https://bioengr.ku.edu/computational-bioengineering,bioengr.ku.edu
What is the minimum credit awarded to students for military service after completing basic training?,"KU awards a minimum of four credits of Health, Sport, and Exercise Science for the completion of basic training for the United States Armed Forces.","KU awards a minimum of four credits of Health, Sport, and Exercise Science credits for the completion of basic training for the United States Armed Forces.",https://registrar.ku.edu/credit-prior-learning,registrar.ku.edu
What are the deadlines for submitting the Out of Country Waiver for each semester?,The Out of Country Waiver must be submitted before the first day of class each semester.,This Out of Country Waiver must be submitted before the first day of class.,https://iss.ku.edu/out-country-waiver,iss.ku.edu
What is the purpose of submitting an annual Graduate Student Activity Report?,It ensures students are making satisfactory progress towards their degree to be considered in good standing and eligible for funding as a GTA or GRA.,Graduate Students must make satisfactory progress towards their degree to be considered in good standing and eligible for funding as a GTA or GRA.,https://engr.ku.edu/masters-program-timeline,engr.ku.edu
What opportunities do the facilities offer for hands-on learning in mechanical engineering?,The facilities offer hands-on learning opportunities through access to state-of-the-art labs and equipment for practical engineering applications.,The Mechanical Engineering facilities provide students with hands-on learning opportunities through access to state-of-the-art labs and equipment.,https://engr.ku.edu/mechanical-engineering-facilities,engr.ku.edu
What recognition have KU chemical engineering students received for their innovative efforts?,"They have been awarded prestigious Goldwater Scholarships, graduate fellowships, and prizes for innovative technology commercialization strategies.","KU students consistently receive national and international recognition and have been awarded prestigious Goldwater Scholarships, graduate fellowships, and prizes for innovative technology commercialization strategies.",https://engr.ku.edu/node/2789,engr.ku.edu
"What dates did the competition take place, and what were some of the teams Jayhackers faced?","The competition took place from October 28th to 31st, and they faced teams from the Army, Department of Defense, Partner Nations, and universities worldwide.","Competing virtually from October 28th to 31st, the KU Jayhackers overcame a significant time difference to secure 9th place overall against teams from the Army, Department of Defense, Partner Nations, and universities worldwide.",https://eecs.ku.edu/news/article/ku-jayhackers-triumph-in-international-best-cyber-warrior-competition,eecs.ku.edu
What are the implications for grades of D+ or below in transferable courses?,Grades of D+ or below are transferable but do not apply towards degree requirements.,Grades of D+ or below are transferable but do not apply towards degree requirements.,https://registrar.ku.edu/transfer-credit-codes,registrar.ku.edu
What conditions must a senior citizen student meet to be eligible for the Senior Citizen Rate at KU?,"They must be a Kansas resident for tuition purposes, be at least 60 years of age, and be admitted to KU as a non-degree seeking undergraduate or graduate student.","One of the benefits to taking classes as a senior citizen at KU is they can apply for the Senior Citizen Rate, which is a waiver of tuition and the Lawrence or Medical Center student and wellness fees if they follow the below requirements: They are a Kansas Resident for tuition purposes. They are at least 60 years of age. They are admitted to KU as a non-degree seeking undergraduate or graduate student.",https://registrar.ku.edu/senior-citizen-students,registrar.ku.edu
What types of content can users expect to find on the new EECS social media accounts?,"Users can expect to find news and updates about upcoming events, research highlights, and student and faculty achievements.","Through our social media accounts, we will share news and updates about the department, including: Upcoming events Research highlights Student and faculty achievements Opportunities for students and alumni.",https://eecs.ku.edu/news/article/2023/08/01/eecs-launches-new-social-media-accounts,eecs.ku.edu
What is the research aim of the Tertiary Oil Recovery Program (TORP) at KU?,"TORP aims to evaluate the full potential of oil recovery processes in the region, including tertiary oil recovery and standard technologies like waterflooding.",The aim of TORP research services is to evaluate the full potential of the oil recovery process in the region. This includes tertiary oil recovery as well as more standard technologies such as waterflooding.,https://engr.ku.edu/research-centers,engr.ku.edu
What major change has been announced regarding the technical support system for the School of Engineering?,"R/T will no longer be the EECS Help Ticketing System for EECS, and there is now one centrally supported team for all IT issues.","R/T will no longer be the EECS Help Ticketing System for EECS. Starting immediately, there is one number and one email for all IT support at the School of Engineering.",https://eecs.ku.edu/tech-help,eecs.ku.edu
What type of research areas will benefit from the $14.5 million funding provided to the University of Kansas by Congress?,"The funding will support research in key areas such as fuel cells, road and vehicle materials, aircraft, and air quality.","Congress appropriated $14.5 million on July 29 to the University of Kansas to support and expand ongoing transportation-related research in such key areas as fuel cells, road and vehicle materials, aircraft and air quality.",https://engr.ku.edu/news?page=20,engr.ku.edu
Which specific technologies does Leuschen utilize in his radar system design and development?,"He employs High Resolution Radar and Ultra-Wideband, Microwave Radar systems for various applications including agricultural and polar research.","Research interests: Radar System Design and Development, High Resolution Radar for Agricultural Applications, An Ultra-Wideband, Microwave Radar for Measuring Snow Thickness on Sea Ice.",https://eecs.ku.edu/people/carlton-leuschen,eecs.ku.edu
What happens if a transfer student holds an Associate's degree from a Kansas public institution upon enrolling at the University of Kansas?,They will have completed all general education requirements for the KU Core 34.,"Students entering KU in Fall 2024 who complete an Associate in Arts (AA), Associate in Fine Arts (AFA), or an Associate in Science (AS) from a regionally accredited Kansas public college... will have completed all general education requirements for the KU Core 34.",https://registrar.ku.edu/systemwide-gen-ed,registrar.ku.edu
What professional organization is Swapan Chakrabarti a member of?,He is a member of IEEE SID.,Memberships — IEEE SID,https://eecs.ku.edu/people/swapan-chakrabarti,eecs.ku.edu
"What mathematics course is specifically required only for the Astronomy, Chemistry, and Physics focuses in the Interdisciplinary Computing program?","MATH 220 Applied Differential Equations is required only for the Astronomy, Chemistry, and Physics focuses.","Note: Required only for the Astronomy, Chemistry, and Physics focuses 3",https://eecs.ku.edu/prospective-students/undergraduate/degree-requirements,eecs.ku.edu
What GPA must students maintain in their coursework for the Bioengineering graduate program?,Students are expected to maintain a 3.0 GPA in their coursework.,Students are expected to: Maintain a 3.0 GPA in their coursework,http://bioengr.ku.edu/overview,bioengr.ku.edu
What happens to the KU email upon activation of the KU Online ID?,A KU email with the online ID as the first portion will be automatically generated.,"When you activate your KU online ID, it will automatically generate a KU email with the online ID as the first portion.",https://iss.ku.edu/student-id-number,iss.ku.edu
Who can initiate a request process in iHawk?,"A department or administrative user of iHawk, such as a department administrator, KU faculty member, or member of the Shared Service Center, can initiate a request process.","A department or administrative user of iHawk is normally a department administrator, KU faculty member, or member of the Shared Service Center. This user will very often initiate a request process in iHawk.",https://iss.ku.edu/request-access-ihawk,iss.ku.edu
What specific categories of individuals are eligible for the Kansas Hero’s Scholarship Act?,"Eligible dependents and spouses of certain deceased/disabled public safety officers, military personnel, and prisoners of war qualify for the scholarship.","The Kansas Hero’s Scholarship Act (K.S.A. 75-4364) provides an opportunity for eligible dependents and spouses of certain deceased/disabled public safety officers, military personnel and prisoner of war to attend an eligible Kansas postsecondary educational institution...",https://registrar.ku.edu/kansas-heros-scholarship,registrar.ku.edu
Which academic affiliate has a title that includes 'Chancellors Distinguished Chair in Biomedical Sciences'?,"Andrew Godwin, Ph.D.","-Chancellors Distinguished Chair in Biomedical Sciences and Endowed Professor -Professor and Director of Molecular Oncology, Pathology and Laboratory Medicine -Deputy Director, The University of Kansas Cancer Center -Kansas Bioscience Authority Eminent Scholar",http://bioengr.ku.edu/academic-affiliates,bioengr.ku.edu
What type of support does KU Bioengineering offer for research facilities?,The program boasts state-of-the-art computer labs and research facilities.,State of the Art Computer Labs and Research Facilities.,http://bio.engr.ku.edu/,bio.engr.ku.edu
What are the roles and responsibilities of Self Graduate Fellows at KU?,"Self Graduate Fellows are expected to participate in the Fellow Development Program and demonstrate leadership potential, motivation, and a commitment to lifelong learning.","Self Graduate Fellows also demonstrate initiative, passion for achievement and lifelong learning, and make a commitment to participate in the Fellow Development Program.",https://engr.ku.edu/graduate-scholarships,engr.ku.edu
What information is required when submitting a travel signature request?,"When submitting a travel signature request, scholars need to bring in their DS-2019 form so that an advisor can sign it for travel.",You will get an email asking you to bring in your DS-2019 form so that an advisor can sign your DS-2019 form for travel.,https://iss.ku.edu/travel-signatures-and-ds-2019-reprint-j-scholar,iss.ku.edu
What is the required utilization percentage for auditoriums based on previous use?,Approved utilization for auditoriums is 80% or higher based on previous use during the last like term.,Approved utilization for auditoriums is 80% or higher based on previous use during the last like term.,https://registrar.ku.edu/auditoriums,registrar.ku.edu
What unique research collaborations enhance the learning experience for bioengineering graduate students at KU?,Bioengineering collaborations across KU’s main campus in Lawrence and at the KU Medical Center in Kansas City ensure that graduate students receive a fundamentally strong and comprehensive research and education experience.,"Bioengineering collaborations across KU’s main campus in Lawrence and at the KU Medical Center in Kansas City, Kansas, ensure that graduate students in the bioengineering program receive a fundamentally strong and comprehensive research and education experience.",http://bioengr.ku.edu/bioengineering-graduate-programs-2024-25,bioengr.ku.edu
What type of education approach does the Petroleum Engineering program integrate?,The Petroleum Engineering program emphasizes hands-on education based on industrial problems and real-world examples.,Learn more about how hands-on education based on industrial problems and real-world examples taught by expert faculty can start your path to a successful career.,http://cpe.engr.ku.edu/degrees,cpe.engr.ku.edu
What should you do if you cannot access the E-form due to browser issues?,You can open a new Private Browsing / Incognito window and paste the access link from the email into the address bar to access the form.,You can try one of the following: Open a new Private Browsing / Incognito window in any browser and copy the access link from the E-mail message you received and use it (paste it) into the address bar of the private/incognito window to access the form.,https://iss.ku.edu/troubleshooting-ihawk-technical-issues,iss.ku.edu
What additional coursework may be required for students with deficiencies in the Bioimaging Track?,Students with deficiencies in areas critical to the program may be required to complete additional courses in preparation for the qualifying exam.,Students with deficiencies in areas critical to the program may be required to complete additional courses in preparation for the qualifying exam.,https://bioengr.ku.edu/entrance-requirements-track,bioengr.ku.edu
What resource does the University of Kansas provide to assist students in calculating tuition and fees?,The Tuition and fee tool assists students in calculating an estimate of tuition and fees.,"The Tuition and fee tool assists students in calculating an estimate of tuition and fees, but does not replace the charge information found in the Comprehensive Tuition and Fee Schedule.",https://registrar.ku.edu/tuition-and-fees,registrar.ku.edu
"If a student's visa expires while they are in the U.S., what is the consequence?","Nothing happens because it is a travel document only, as long as they are maintaining status.","Visa Renewal... If your visa expires while you are maintaining status and in the U.S., nothing happens because it is a travel document only.",https://iss.ku.edu/apply-visa-student,iss.ku.edu
What types of GPA are calculated separately for different student careers at the University of Kansas?,"The GPA is calculated separately for each student career, including undergraduate, graduate, medical, and law.","This GPA is calculated separately for each student career (i.e. - undergraduate, graduate, medical, law).",https://registrar.ku.edu/grades,registrar.ku.edu
What steps must non-degree seeking students take to enroll in classes that have prerequisites?,"If a prerequisite is required, submit the test scores or an official academic transcript to the Office of Admissions then email transfercredit@ku.edu to request to have necessary prerequisites placed on your KU student transfer record.",If a prerequisite is required submit the test scores or an official academic transcript to the Office of Admissions then email transfercredit@ku.edu to request to have necessary prerequisites placed on your KU student transfer record.,https://registrar.ku.edu/non-degree-seeking-students,registrar.ku.edu
What documents must F-1 students present upon entry to the U.S.?,"F-1 students must present a valid passport, valid visa, I-20, SEVIS fee receipt, and financial documents used for their I-20 application.",Organize Your Documents Have these documents in your hand (and not packed in a suitcase) for the officer to review: F-1 Students Valid Passport Valid Visa (Canadians are exempt from visa requirement) I-20 SEVIS fee receipt Financial documents (used for your I-20 application),https://iss.ku.edu/entering-us-f-j-students,iss.ku.edu
Where is Samyoga Bhattarai originally from?,"She is originally from Kathmandu, Nepal.","Hometown: Kathmandu, Nepal",https://engr.ku.edu/people/samyoga-bhattarai,engr.ku.edu
What unique features will the VICEROY Virtual Institute offer?,"It will offer an augmented curriculum that includes hands-on training, research-oriented experiential learning, and scholarships.","The institute will offer an augmented curriculum that includes hands-on training, research-oriented experiential learning, and scholarships.",https://eecs.ku.edu/news/article/2023/08/28/eecs-professor-leads-new-15m-virtual-institute-protect-cyberspace,eecs.ku.edu
What roles do Bioengineering graduate students often take on within the program?,"Bioengineering graduate students often play an important role in new course development, grant writing efforts of faculty, and recruitment of new students.",Bioengineering graduate students often play an important role in: New course development Grant writing efforts of faculty Recruitment of new students.,http://bio.engr.ku.edu/overview,bio.engr.ku.edu
What is the required minimum full-time enrollment for undergraduate F-1 students during Fall and Spring semesters?,"For undergraduate students, the required minimum full-time enrollment is 12 credit hours (including any AEC courses).",KU defines full-time enrollment during Fall and Spring semesters: For undergraduate students: 12 credit hours (including any AEC courses),https://iss.ku.edu/F-1-staying-legal,iss.ku.edu
What unique program related to oil recovery is hosted by the University of Kansas?,The University of Kansas hosts the Tertiary Oil Recovery Program.,The University of Kansas hosts the only petroleum engineering program in the State of Kansas and is home to the Tertiary Oil Recovery Program.,http://cpe.engr.ku.edu/degrees-curriculum,cpe.engr.ku.edu
What safety measures are implemented on the SafeBus?,Each bus is equipped with six security cameras for rider safety.,Each bus is equipped with six security cameras for rider safety.,https://iss.ku.edu/saferide-and-safebus,iss.ku.edu
How many patents does Brian McClendon hold?,McClendon holds 40 patents.,McClendon holds 40 patents.,https://engr.ku.edu/news/article/2023/12/12/google-earth-creator-brian-mcclendon-kus-newest-national-academy-inventors-fellow,engr.ku.edu
What aspect of her graduate studies does Jordan emphasize in her current degree program?,Jordan has an emphasis on Structural Engineering.,She is now a dual Masters and PhD student in Civil Engineering with an emphasis on Structural Engineering.,https://engr.ku.edu/people/jordan-nutter,engr.ku.edu
Which course has been approved as a permanent exception for the Bachelor of Science in business degrees related to Microeconomics?,ECON 142: Principles of Microeconomics has been approved as a permanent exception.,Exceptions noted with an asterisk (*) have been approved as permanent exceptions. Major(s) Discipline Bucket Course title that the institution wishes to continue in the GE degree requirements 1 Title of the post requisite course or Accreditation/Licensure issue 2 Bachelor of Science in Business Degree Accounting; Business Administration; Business Analytics; Finance; Information Systems; Marketing; Management & Leadership; Supply Chain Management; Social & Behavioral Sciences ECON 142: Principles of Microeconomics MGMT 310: Principles of Management.,https://registrar.ku.edu/sge-approved-exceptions,registrar.ku.edu
